Year,Province,Births,Deaths,Temporary Residents,Permanent Residents,Population,Population_age_0 to 3 years,Population_age_18 to 50 years,Population_age_4 to 17 years,Population_age_50 years and above,Men+,Women+,Full-time educators,Part-time educators,Students,Beds,Physician
2015,Nunavut,867,186,277,35,36490,3509,17692,10137,5152,18735,17755,741,21,10026,0,10
2015,Ontario,140582,97175,1250555,103620,13709293,569940,6127391,2138653,4870468,6747303,6961990,131124,24789,1993431,31065,30494
2015,Prince Edward Island,1397,1126,8920,1190,144636,5611,58695,22289,58008,70449,74187,1440,246,19713,487,266
2015,Quebec,86947,62993,437132,48960,8175743,353566,3517606,1174694,3128122,4067161,4108582,67260,31035,890886,19452,20055
2015,Saskatchewan,15520,9378,61658,12520,1122210,59989,491913,197011,372881,565351,556859,10716,1347,175593,3099,2241
2015,Yukon,450,213,1406,265,37669,1768,17774,5793,12333,19144,18525,531,342,5199,67,79
2016,Alberta,54794,24938,332898,49250,4195427,219914,2013666,718798,1242334,2117315,2078112,34269,6441,652272,11021,10294
2016,British Columbia,44989,38365,688699,38085,4861269,183577,2152782,678288,1845250,2406508,2454761,28056,8205,549921,13511,11547
2016,Canada,380554,274517,3125336,296375,36110803,1549830,15908563,5533526,13110252,17914526,18196277,309894,75720,4804986,93888,84063
2016,Manitoba,16959,11023,79623,16825,1314140,67863,578541,232477,434814,655415,658725,11889,1782,183015,4231,2748
2016,New Brunswick,6593,7398,29549,4715,763322,27511,306393,107878,321331,377407,385915,7182,333,97842,2818,1735
2016,Newfoundland and Labrador,4391,5153,23923,1200,529586,18224,217343,73204,220718,262616,266970,5052,291,66183,2350,1315
2016,Northwest Territories,602,241,1404,185,44624,2656,22456,8135,11374,22953,21671,846,114,8337,156,33
2016,Nova Scotia,8221,9350,67623,5510,942984,33700,383933,131069,394005,460859,482125,9336,0,118566,3145,2457
2016,Nunavut,900,171,281,35,36979,3512,17837,10249,5380,18994,17985,810,54,10041,0,8
2016,Ontario,141111,101679,1366964,109880,13876500,571124,6152885,2156673,4992750,6835330,7041170,131271,25197,2006700,31004,31017
2016,Prince Edward Island,1388,1274,11682,2315,146891,5688,59037,22644,59487,71601,75290,1416,192,20007,488,279
2016,Quebec,84701,65191,456278,53240,8225036,353091,3490707,1187429,3191806,4094059,4130977,68373,31494,907608,19606,20270
2016,Saskatchewan,15477,9486,64623,14880,1135496,61173,494863,200787,378266,571890,563606,10860,1272,179148,3131,2282
2016,Yukon,428,248,1789,210,38549,1797,18120,5895,12737,19579,18970,537,342,5343,67,78
2017,Alberta,52987,26109,313907,42120,4237310,220348,2014059,728433,1273723,2135705,2101605,34038,6255,665877,10859,10680
2017,British Columbia,44308,38129,740519,38465,4934202,184058,2184835,683513,1880444,2442935,2491267,30906,7950,555735,14056,11803
2017,Canada,377163,283939,3541934,286535,36545075,1551776,16028900,5577116,13378432,18142187,18402888,316320,75195,4860093,92459,86643
2017,Manitoba,17318,11123,101772,14640,1334734,68127,588957,234869,442338,667802,666932,11934,1812,184710,4298,2833
2017,New Brunswick,6426,7615,32544,3660,766697,27475,304327,107488,327173,379036,387661,7287,282,97755,2820,1797
